studentId,name,department,year,attendance,week,DBMS_attendance,DS_attendance,Computational Math_attendance,Computer Network_attendance,Python Programming_attendance
S001,Suresh Nair,Computer Science,4,72,Week 3,68,63,77,61,61
S002,Nidhi Pillai,Computer Science,2,88,Week 3,96,96,82,91,93
S003,Ruchi Agarwal,Computer Science,2,73,Week 3,71,74,78,71,77
S004,Karan Agarwal,Computer Science,1,72,Week 3,72,61,66,66,73
S005,Rohan Chauhan,Computer Science,4,88,Week 3,87,91,94,82,88
S006,Meera Kulkarni,Computer Science,2,56,Week 3,58,52,57,52,49
S007,Dev More,Computer Science,1,79,Week 3,71,72,74,85,84
S008,Abhishek Shinde,Computer Science,4,82,Week 3,85,90,74,85,74
S009,Chirag Verma,Computer Science,3,90,Week 3,91,87,87,87,85
S010,Ajay More,Computer Science,1,67,Week 3,62,67,60,70,61
S011,Deepak Sharma,Computer Science,2,67,Week 3,61,67,69,70,68
S012,Sneha Joshi,Computer Science,1,89,Week 3,85,93,88,97,92
S013,Tejas Deshmukh,Computer Science,3,84,Week 3,85,76,81,81,90
S014,Sakshi Pillai,Computer Science,2,79,Week 3,83,82,82,72,83
S015,Manoj Jadhav,Computer Science,1,80,Week 3,80,75,78,77,76
S016,Ruchi Chopra,Computer Science,2,71,Week 3,68,77,66,79,76
S017,Ananya Kumar,Computer Science,2,75,Week 3,77,80,71,73,72
S018,Varun Jadhav,Computer Science,1,71,Week 3,68,64,73,68,72
S019,Priya Naik,Computer Science,4,67,Week 3,64,58,66,60,63
S020,Komal Shah,Computer Science,3,69,Week 3,78,63,80,77,74
S021,Sanjay Malhotra,Computer Science,4,89,Week 3,86,83,91,84,83
S022,Radhika Chauhan,Computer Science,4,69,Week 3,71,68,71,68,77
S023,Komal Yadav,Computer Science,4,81,Week 3,81,80,76,78,80
S024,Komal Gupta,Computer Science,1,61,Week 3,61,52,59,63,61
S025,Sneha Deshmukh,Computer Science,4,53,Week 3,57,51,55,55,48
S026,Aditya Pillai,Computer Science,1,97,Week 3,99,90,99,99,99
S027,Yash Bhosale,Computer Science,3,67,Week 3,70,70,59,67,76
S028,Kavya Deshmukh,Computer Science,2,61,Week 3,66,67,61,67,61
S029,Reyansh Bansal,Computer Science,3,76,Week 3,73,77,76,85,81
S030,Reyansh Kumar,Computer Science,3,65,Week 3,59,63,73,73,72
S031,Siddharth Joshi,Computer Science,2,91,Week 3,90,88,95,92,90
S032,Meera Kapoor,Computer Science,2,81,Week 3,84,81,74,87,81
S033,Nitin Chauhan,Computer Science,2,94,Week 3,87,94,99,94,97
S034,Ishaan Jadhav,Computer Science,2,68,Week 3,68,66,64,57,68
S035,Pallavi Kapoor,Computer Science,2,62,Week 3,62,74,74,56,62
S036,Rohan Malhotra,Computer Science,3,87,Week 3,90,80,87,89,80
S037,Ravi Rao,Computer Science,4,66,Week 3,73,78,60,69,73
S038,Siddharth Kapoor,Computer Science,2,63,Week 3,59,62,58,65,65
S039,Nikhil Naik,Computer Science,1,90,Week 3,87,94,86,94,94
S040,Chirag Agarwal,Computer Science,4,91,Week 3,84,93,95,88,90
S041,Pratik Verma,Computer Science,3,68,Week 3,66,61,62,67,71
S042,Arjun Chopra,Computer Science,3,67,Week 3,75,72,67,60,63
S043,Radhika Verma,Computer Science,4,77,Week 3,66,66,89,82,86
S044,Siddharth Deshmukh,Computer Science,4,75,Week 3,78,70,73,81,75
S045,Meera Chopra,Computer Science,3,91,Week 3,84,85,85,99,98
S046,Sanjay Kulkarni,Computer Science,4,62,Week 3,59,66,60,59,67
S047,Arjun Gupta,Computer Science,2,75,Week 3,76,74,68,71,83
S048,Pratik Sharma,Computer Science,2,69,Week 3,77,64,79,77,64
S049,Gaurav Agarwal,Computer Science,2,90,Week 3,91,98,89,85,96
S050,Deepak Kale,Computer Science,4,66,Week 3,63,59,62,66,65
