studentId,name,department,year,week,DBMS_attendance,DS_attendance,Computational Math_attendance,Computer Network_attendance,Python Programming_attendance
S001,Suresh Nair,Computer Science,4,Week 4,64,56,56,61,62
S002,Nidhi Pillai,Computer Science,2,Week 4,91,87,85,89,78
S003,Ruchi Agarwal,Computer Science,2,Week 4,82,69,80,74,73
S004,Karan Agarwal,Computer Science,1,Week 4,39,48,45,50,52
S005,Rohan Chauhan,Computer Science,4,Week 4,96,85,92,89,95
S006,Meera Kulkarni,Computer Science,2,Week 4,47,49,51,60,55
S007,Dev More,Computer Science,1,Week 4,81,83,91,90,75
S008,Abhishek Shinde,Computer Science,4,Week 4,85,80,87,88,81
S009,Chirag Verma,Computer Science,3,Week 4,88,88,86,85,88
S010,Ajay More,Computer Science,1,Week 4,75,74,80,81,80
S011,Deepak Sharma,Computer Science,2,Week 4,81,95,90,88,81
S012,Sneha Joshi,Computer Science,1,Week 4,85,84,82,84,87
S013,Tejas Deshmukh,Computer Science,3,Week 4,87,90,78,87,84
S014,Sakshi Pillai,Computer Science,2,Week 4,78,87,76,79,77
S015,Manoj Jadhav,Computer Science,1,Week 4,82,74,89,87,90
S016,Ruchi Chopra,Computer Science,2,Week 4,70,73,80,79,82
S017,Ananya Kumar,Computer Science,2,Week 4,78,88,94,83,78
S018,Varun Jadhav,Computer Science,1,Week 4,89,79,85,84,91
S019,Priya Naik,Computer Science,4,Week 4,50,45,47,52,52
S020,Komal Shah,Computer Science,3,Week 4,45,43,47,45,57
S021,Sanjay Malhotra,Computer Science,4,Week 4,91,86,90,93,88
S022,Radhika Chauhan,Computer Science,4,Week 4,86,86,81,79,76
S023,Komal Yadav,Computer Science,4,Week 4,86,87,80,71,84
S024,Komal Gupta,Computer Science,1,Week 4,49,53,52,51,55
S025,Sneha Deshmukh,Computer Science,4,Week 4,86,77,77,86,85
S026,Aditya Pillai,Computer Science,1,Week 4,99,93,99,98,93
S027,Yash Bhosale,Computer Science,3,Week 4,37,48,48,40,38
S028,Kavya Deshmukh,Computer Science,2,Week 4,87,84,76,83,88
S029,Reyansh Bansal,Computer Science,3,Week 4,53,57,45,53,50
S030,Reyansh Kumar,Computer Science,3,Week 4,62,69,70,62,64
S031,Siddharth Joshi,Computer Science,2,Week 4,93,91,91,87,99
S032,Meera Kapoor,Computer Science,2,Week 4,76,75,90,77,85
S033,Nitin Chauhan,Computer Science,2,Week 4,89,99,92,98,97
S034,Ishaan Jadhav,Computer Science,2,Week 4,38,46,51,52,38
S035,Pallavi Kapoor,Computer Science,2,Week 4,32,37,41,42,40
S036,Rohan Malhotra,Computer Science,3,Week 4,84,86,91,82,92
S037,Ravi Rao,Computer Science,4,Week 4,50,49,52,51,46
S038,Siddharth Kapoor,Computer Science,2,Week 4,86,86,87,91,92
S039,Nikhil Naik,Computer Science,1,Week 4,90,88,97,93,92
S040,Chirag Agarwal,Computer Science,4,Week 4,93,83,92,85,96
S041,Pratik Verma,Computer Science,3,Week 4,79,75,77,77,77
S042,Arjun Chopra,Computer Science,3,Week 4,59,67,70,69,65
S043,Radhika Verma,Computer Science,4,Week 4,48,40,47,39,39
S044,Siddharth Deshmukh,Computer Science,4,Week 4,66,67,67,77,77
S045,Meera Chopra,Computer Science,3,Week 4,94,92,89,98,92
S046,Sanjay Kulkarni,Computer Science,4,Week 4,81,68,80,75,79
S047,Arjun Gupta,Computer Science,2,Week 4,78,78,85,85,78
S048,Pratik Sharma,Computer Science,2,Week 4,37,50,53,41,44
S049,Gaurav Agarwal,Computer Science,2,Week 4,93,97,95,93,89
S050,Deepak Kale,Computer Science,4,Week 4,48,57,45,54,53
