studentId,name,department,year,attendance,week,DBMS_attendance,DS_attendance,Computational Math_attendance,Computer Network_attendance,Python Programming_attendance
S001,Suresh Nair,Computer Science,4,61,Week 4,57,70,64,64,52
S002,Nidhi Pillai,Computer Science,2,74,Week 4,67,84,66,74,79
S003,Ruchi Agarwal,Computer Science,2,64,Week 4,68,59,65,62,64
S004,Karan Agarwal,Computer Science,1,56,Week 4,59,57,59,61,46
S005,Rohan Chauhan,Computer Science,4,40,Week 4,34,39,51,42,35
S006,Meera Kulkarni,Computer Science,2,77,Week 4,76,91,73,75,72
S007,Dev More,Computer Science,1,63,Week 4,51,61,63,69,73
S008,Abhishek Shinde,Computer Science,4,54,Week 4,54,51,55,50,58
S009,Chirag Verma,Computer Science,3,82,Week 4,87,76,89,80,77
S010,Ajay More,Computer Science,1,52,Week 4,49,53,50,49,59
S011,Deepak Sharma,Computer Science,2,40,Week 4,47,31,33,43,45
S012,Sneha Joshi,Computer Science,1,48,Week 4,46,46,52,50,46
S013,Tejas Deshmukh,Computer Science,3,47,Week 4,42,48,46,51,48
S014,Sakshi Pillai,Computer Science,2,61,Week 4,65,66,64,60,50
S015,Manoj Jadhav,Computer Science,1,58,Week 4,65,58,54,56,58
S016,Ruchi Chopra,Computer Science,2,43,Week 4,38,38,41,51,45
S017,Ananya Kumar,Computer Science,2,54,Week 4,56,60,44,55,54
S018,Varun Jadhav,Computer Science,1,33,Week 4,35,41,36,29,26
S019,Priya Naik,Computer Science,4,57,Week 4,54,49,77,55,52
S020,Komal Shah,Computer Science,3,57,Week 4,53,56,53,61,60
S021,Sanjay Malhotra,Computer Science,4,84,Week 4,86,89,81,82,84
S022,Radhika Chauhan,Computer Science,4,32,Week 4,40,27,44,20,30
S023,Komal Yadav,Computer Science,4,47,Week 4,39,42,49,53,53
S024,Komal Gupta,Computer Science,1,45,Week 4,36,50,51,38,51
S025,Sneha Deshmukh,Computer Science,4,31,Week 4,39,36,37,22,20
S026,Aditya Pillai,Computer Science,1,75,Week 4,75,72,79,72,77
S027,Yash Bhosale,Computer Science,3,36,Week 4,45,27,43,35,32
S028,Kavya Deshmukh,Computer Science,2,64,Week 4,61,55,69,62,75
S029,Reyansh Bansal,Computer Science,3,31,Week 4,34,37,20,46,20
S030,Reyansh Kumar,Computer Science,3,79,Week 4,73,83,86,77,75
S031,Siddharth Joshi,Computer Science,2,77,Week 4,75,72,78,81,77
S032,Meera Kapoor,Computer Science,2,49,Week 4,61,54,35,49,46
S033,Nitin Chauhan,Computer Science,2,68,Week 4,69,62,72,67,71
S034,Ishaan Jadhav,Computer Science,2,31,Week 4,25,22,45,35,28
S035,Pallavi Kapoor,Computer Science,2,68,Week 4,68,67,65,70,68
S036,Rohan Malhotra,Computer Science,3,40,Week 4,37,39,37,49,40
S037,Ravi Rao,Computer Science,4,79,Week 4,80,83,80,75,79
S038,Siddharth Kapoor,Computer Science,2,48,Week 4,48,53,44,49,45
S039,Nikhil Naik,Computer Science,1,70,Week 4,75,60,67,77,73
S040,Chirag Agarwal,Computer Science,4,53,Week 4,44,53,51,61,56
S041,Pratik Verma,Computer Science,3,41,Week 4,34,47,45,47,31
S042,Arjun Chopra,Computer Science,3,63,Week 4,65,69,65,64,52
S043,Radhika Verma,Computer Science,4,78,Week 4,75,72,71,83,87
S044,Siddharth Deshmukh,Computer Science,4,59,Week 4,57,54,64,50,70
S045,Meera Chopra,Computer Science,3,66,Week 4,67,73,66,64,62
S046,Sanjay Kulkarni,Computer Science,4,39,Week 4,41,31,53,37,35
S047,Arjun Gupta,Computer Science,2,29,Week 4,39,22,27,20,38
S048,Pratik Sharma,Computer Science,2,24,Week 4,20,20,28,20,30
S049,Gaurav Agarwal,Computer Science,2,60,Week 4,56,61,65,49,69
S050,Deepak Kale,Computer Science,4,27,Week 4,20,35,26,27,26
