studentId,name,department,year,week,DBMS_attendance,DBMS_score,DS_attendance,DS_score,Computational Math_attendance,Computational Math_score,Computer Network_attendance,Computer Network_score,Python Programming_attendance,Python Programming_score
S001,Mohit Chopra,Computer Science,4,Week 2,92,89,89,87,96,90,98,87,88,89
S002,Mohit Rao,Computer Science,2,Week 2,43,53,55,43,55,53,47,45,51,48
S003,Manoj Agarwal,Computer Science,4,Week 2,94,81,88,90,84,91,90,88,91,86
S004,Manoj Joshi,Computer Science,4,Week 2,81,75,73,69,73,76,72,71,78,70
S005,Simran Kulkarni,Computer Science,1,Week 2,56,60,66,58,61,57,65,51,51,60
S006,Kabir Kale,Computer Science,4,Week 2,82,80,71,67,74,73,74,71,74,76
S007,Mohit Pawar,Computer Science,2,Week 2,77,75,78,72,76,71,74,66,78,72
S008,Rohan Bansal,Computer Science,1,Week 2,78,73,76,72,73,67,78,67,75,60
S009,Aditi Verma,Computer Science,2,Week 2,56,38,49,46,53,51,42,41,45,38
S010,Karan Kale,Computer Science,1,Week 2,97,87,93,92,94,93,96,86,98,87
S011,Sameer Yadav,Computer Science,4,Week 2,93,90,84,92,97,87,87,89,88,91
S012,Akash Rao,Computer Science,2,Week 2,93,87,98,92,92,86,96,86,92,80
S013,Radhika Pillai,Computer Science,1,Week 2,71,68,69,67,73,76,79,70,74,69
S014,Diya Iyer,Computer Science,3,Week 2,74,82,81,74,77,77,78,82,67,68
S015,Pallavi Naik,Computer Science,1,Week 2,61,59,64,47,54,57,61,53,60,50
S016,Neha Yadav,Computer Science,2,Week 2,81,77,80,73,75,73,72,73,70,65
S017,Nidhi Sharma,Computer Science,1,Week 2,83,74,73,68,83,73,66,79,68,75
S018,Riya Reddy,Computer Science,1,Week 2,52,41,52,48,49,41,57,52,41,53
S019,Radhika Reddy,Computer Science,1,Week 2,81,72,86,71,73,73,74,81,79,68
S020,Aarav Chopra,Computer Science,1,Week 2,97,89,96,96,88,87,95,86,93,95
S021,Harsh Shah,Computer Science,1,Week 2,80,74,80,68,80,76,74,69,75,74
S022,Ruchi Reddy,Computer Science,4,Week 2,42,39,48,49,48,51,44,50,52,49
S023,Ketan Patil,Computer Science,2,Week 2,71,79,75,83,72,74,74,71,76,73
S024,Isha Yadav,Computer Science,1,Week 2,54,41,56,35,53,50,53,47,47,50
S025,Anjali Yadav,Computer Science,1,Week 2,72,73,75,71,69,71,79,72,69,69
S026,Pallavi Kumar,Computer Science,1,Week 2,71,69,83,80,70,74,68,68,72,65
S027,Amit Mehta,Computer Science,1,Week 2,76,77,80,75,81,65,81,75,70,71
S028,Rohan Verma,Computer Science,4,Week 2,90,89,98,89,94,89,94,87,95,84
S029,Ravi Deshmukh,Computer Science,2,Week 2,98,88,96,93,96,90,91,97,87,95
S030,Sudhanshu Shinde,Computer Science,2,Week 2,75,64,78,66,74,80,75,77,71,70
S031,Ketan Pawar,Computer Science,4,Week 2,90,90,98,82,97,88,96,84,98,88
S032,Kavya Reddy,Computer Science,4,Week 2,73,82,69,69,79,67,79,65,76,62
S033,Harsh Sharma,Computer Science,3,Week 2,93,93,92,93,89,80,94,91,97,87
S034,Simran Malhotra,Computer Science,1,Week 2,54,52,64,50,61,58,60,58,54,57
S035,Varun Deshmukh,Computer Science,4,Week 2,50,40,50,53,42,39,41,52,43,53
S036,Pooja Verma,Computer Science,2,Week 2,77,79,86,73,75,79,74,78,70,79
S037,Harsh Iyer,Computer Science,3,Week 2,56,33,46,48,55,45,45,37,46,46
S038,Rohan Kumar,Computer Science,3,Week 2,84,80,95,89,90,83,94,97,98,85
S039,Ananya Patil,Computer Science,1,Week 2,70,62,69,50,57,57,67,57,61,56
S040,Varun Bhosale,Computer Science,2,Week 2,95,97,88,88,91,89,96,84,98,93
S041,Rohan Kale,Computer Science,3,Week 2,72,75,79,69,73,81,73,69,72,82
S042,Deepak Kale,Computer Science,4,Week 2,98,90,87,96,91,92,93,88,91,87
S043,Rahul Bhosale,Computer Science,4,Week 2,79,72,74,75,64,67,72,72,83,71
S044,Amit Chopra,Computer Science,4,Week 2,94,91,90,84,98,92,90,85,90,90
S045,Manoj Pawar,Computer Science,2,Week 2,60,60,59,58,57,53,59,54,60,50
S046,Anjali Kapoor,Computer Science,2,Week 2,65,48,66,55,64,59,64,61,62,57
S047,Siddharth Shinde,Computer Science,2,Week 2,89,84,88,97,92,88,85,91,89,85
S048,Nikhil Shinde,Computer Science,2,Week 2,72,72,74,79,79,80,75,77,72,76
S049,Komal Malhotra,Computer Science,4,Week 2,77,66,70,68,79,66,83,73,79,77
S050,Diya Nair,Computer Science,1,Week 2,75,69,81,75,81,76,72,73,72,64
